has_1_20_1_forge,new_file_id,new_name,new_url,new_version,old_file_id,old_name,project_id,slug,title,url
false,,,,,3747177,kubejs-immersive-engineering-1802.2.1-build.35.jar,421770,,KubeJS Immersive Engineering,https://www.curseforge.com/minecraft/mc-mods/kubejs-immersive-engineering
true,5137938,architectury-9.2.14-forge.jar,https://www.curseforge.com/minecraft/mc-mods/architectury-api/files/5137938,1.20.1,4521465,architectury-4.11.93-forge.jar,419699,,Architectury API,https://www.curseforge.com/minecraft/mc-mods/architectury-api
true,5372751,thermal_innovation-1.20.1-11.0.1.23.jar,https://www.curseforge.com/minecraft/mc-mods/thermal-innovation/files/5372751,1.20.1,4382344,thermal_innovation-1.18.2-9.2.0.17.jar,291737,,Thermal Innovation,https://www.curseforge.com/minecraft/mc-mods/thermal-innovation
true,6880323,IronJetpacks-1.20.1-7.0.9.jar,https://www.curseforge.com/minecraft/mc-mods/iron-jetpacks/files/6880323,1.20.1,3908627,IronJetpacks-1.18.2-5.1.4.jar,284497,,Iron Jetpacks,https://www.curseforge.com/minecraft/mc-mods/iron-jetpacks
true,8354922,fusion-1.3.5-forge-mc1.20.1.jar,https://www.curseforge.com/minecraft/mc-mods/fusion-connected-textures/files/8354922,1.20.1,4670829,fusion-1.0.5-forge-mc1.18.jar,854949,,Fusion (Connected Textures),https://www.curseforge.com/minecraft/mc-mods/fusion-connected-textures
true,7612389,Bookshelf-Forge-1.20.1-20.2.15.jar,https://www.curseforge.com/minecraft/mc-mods/bookshelf/files/7612389,1.20.1,4556713,Bookshelf-Forge-1.18.2-13.3.56.jar,228525,,Bookshelf,https://www.curseforge.com/minecraft/mc-mods/bookshelf
true,5605503,Morph-o-Tool-1.7-38.jar,https://www.curseforge.com/minecraft/mc-mods/morph-o-tool/files/5605503,1.20.1,3740184,Morph-o-Tool-1.5-32.jar,245287,,Morph-o-Tool,https://www.curseforge.com/minecraft/mc-mods/morph-o-tool
true,4834403,ftbbackups2-forge-1.20-1.0.23.jar,https://www.curseforge.com/minecraft/mc-mods/ftb-backups-2/files/4834403,1.20.1,4560440,ftbbackups2-forge-1.18.2-1.0.19.jar,622737,,FTB Backups 2,https://www.curseforge.com/minecraft/mc-mods/ftb-backups-2
true,4614852,ironchest-1.20.1-14.4.4.jar,https://www.curseforge.com/minecraft/mc-mods/iron-chests/files/4614852,1.20.1,3966367,ironchest-1.18.2-13.2.11.jar,228756,,Iron Chests,https://www.curseforge.com/minecraft/mc-mods/iron-chests
true,5372752,thermal_locomotion-1.20.1-11.0.1.19.jar,https://www.curseforge.com/minecraft/mc-mods/thermal-locomotion/files/5372752,1.20.1,4382347,thermal_locomotion-1.18.2-9.2.0.13.jar,406959,,Thermal Locomotion,https://www.curseforge.com/minecraft/mc-mods/thermal-locomotion
true,7949862,industrial-foregoing-1.20.1-3.5.22.jar,https://www.curseforge.com/minecraft/mc-mods/industrial-foregoing/files/7949862,1.20.1,4401654,industrial-foregoing-1.18.2-3.3.1.6-10.jar,266515,,Industrial Foregoing,https://www.curseforge.com/minecraft/mc-mods/industrial-foregoing
true,5429170,crafting-on-a-stick-1.20.1-1.1.5.jar,https://www.curseforge.com/minecraft/mc-mods/crafting-on-a-stick/files/5429170,1.20.1,3678727,Crafting-on-a-stick-1.18.1-1.0.1.jar,577850,,Crafting on a stick,https://www.curseforge.com/minecraft/mc-mods/crafting-on-a-stick
true,5828475,simplemagnets-1.1.12-forge-mc1.20.1.jar,https://www.curseforge.com/minecraft/mc-mods/simple-magnets/files/5828475,1.20.1,4288042,simplemagnets-1.1.9-forge-mc1.18.jar,394140,,Simple Magnets,https://www.curseforge.com/minecraft/mc-mods/simple-magnets
true,6265498,kubejs-create-forge-2001.3.0-build.8.jar,https://www.curseforge.com/minecraft/mc-mods/kubejs-create/files/6265498,1.20.1,4585765,kubejs-create-forge-1802.2.4-build.5.jar,429371,,KubeJS Create,https://www.curseforge.com/minecraft/mc-mods/kubejs-create
true,7454483,cookingforblockheads-forge-1.20.1-16.0.15.jar,https://www.curseforge.com/minecraft/mc-mods/cooking-for-blockheads/files/7454483,1.20.1,4065856,cookingforblockheads-forge-1.18.2-12.2.0.jar,231484,,Cooking for Blockheads,https://www.curseforge.com/minecraft/mc-mods/cooking-for-blockheads
true,7244744,Applied-Mekanistics-1.4.3.jar,https://www.curseforge.com/minecraft/mc-mods/applied-mekanistics/files/7244744,1.20.1,3968835,Applied-Mekanistics-1.2.2.jar,574300,,Applied Mekanistics,https://www.curseforge.com/minecraft/mc-mods/applied-mekanistics
true,5284254,framedcompactdrawers-1.20-6.0.1.jar,https://www.curseforge.com/minecraft/mc-mods/framed-compacting-drawers/files/5284254,1.20.2,3808242,framedcompactdrawers-1.18-4.1.0.jar,376351,,Framed Compacting Drawers,https://www.curseforge.com/minecraft/mc-mods/framed-compacting-drawers
true,7469697,ExtremeSoundMuffler-3.51-forge-1.20.1.jar,https://www.curseforge.com/minecraft/mc-mods/extreme-sound-muffler/files/7469697,1.20.1,4033047,extremesoundmuffler-3.30_forge-1.18.2.jar,363363,,Extreme sound muffler - (Neo)Forge,https://www.curseforge.com/minecraft/mc-mods/extreme-sound-muffler
true,4862132,rsrequestify-1.20.1-2.3.3.jar,https://www.curseforge.com/minecraft/mc-mods/rs-requestify/files/4862132,1.20.1,3617200,rsrequestify-2.2.0.jar,307788,,Refined Storage: Requestify,https://www.curseforge.com/minecraft/mc-mods/rs-requestify
true,4844585,refinedstorage-1.12.4.jar,https://www.curseforge.com/minecraft/mc-mods/refined-storage/files/4844585,1.20.1,4392829,refinedstorage-1.10.5.jar,243076,,Refined Storage,https://www.curseforge.com/minecraft/mc-mods/refined-storage
true,7247734,projectexpansion-1.20.1-1.1.3.jar,https://www.curseforge.com/minecraft/mc-mods/project-expansion/files/7247734,1.20.1,4380542,ProjectExpansion-1.18.2-1.0.20.jar,579177,,Project Expansion,https://www.curseforge.com/minecraft/mc-mods/project-expansion
true,5056687,modular-routers-12.1.1+mc1.20.1.jar,https://www.curseforge.com/minecraft/mc-mods/modular-routers/files/5056687,1.20.1,3776175,modular-routers-1.18.2-9.1.1-93.jar,250294,,Modular Routers,https://www.curseforge.com/minecraft/mc-mods/modular-routers
true,6945288,moreoverlays-1.24.1-mc1.20.1-forge.jar,https://www.curseforge.com/minecraft/mc-mods/more-overlays-updated/files/6945288,1.20.1,4459158,moreoverlays-1.20.11-mc1.18.2.jar,391382,,More Overlays Updated,https://www.curseforge.com/minecraft/mc-mods/more-overlays-updated
true,4640910,lemonlib-4.0.1.jar,https://www.curseforge.com/minecraft/mc-mods/lemon-lib/files/4640910,1.20.1,4640913,lemonlib-2.1.1.jar,471136,,Lemon Lib,https://www.curseforge.com/minecraft/mc-mods/lemon-lib
true,8216874,ftb-chunks-forge-2001.3.8.jar,https://www.curseforge.com/minecraft/mc-mods/ftb-chunks-forge/files/8216874,1.20.1,4494633,ftb-chunks-forge-1802.3.17-build.265.jar,314906,,FTB Chunks (NeoForge),https://www.curseforge.com/minecraft/mc-mods/ftb-chunks-forge
true,7880472,ftb-ultimine-forge-2001.1.8.jar,https://www.curseforge.com/minecraft/mc-mods/ftb-ultimine-forge/files/7880472,1.20.1,4216216,ftb-ultimine-forge-1802.3.3-build.70.jar,386134,,FTB Ultimine (NeoForge),https://www.curseforge.com/minecraft/mc-mods/ftb-ultimine-forge
true,8434133,sophisticatedcore-1.20.1-1.3.67.2148.jar,https://www.curseforge.com/minecraft/mc-mods/sophisticated-core/files/8434133,1.20.1,4668692,sophisticatedcore-1.18.2-0.5.82.393.jar,618298,,Sophisticated Core,https://www.curseforge.com/minecraft/mc-mods/sophisticated-core
false,,,,,3565298,time-in-a-bottle-2.1.0-mc1.18.1.jar,445025,,Time in a bottle standalone,https://www.curseforge.com/minecraft/mc-mods/time-in-a-bottle-standalone
