dependencies,display_names,file,loader_range,mc_ranges,mod_ids,sha1,versions
,AE2 Things,AE2-Things-1.0.5.jar,"[40,)",,ae2things,db74f7e123a656bf1c9cbda71a865136cee109ad,1.0.5
"forge@*;minecraft@*;ae2@[11.6.3,12.0.0);cloth_config@*;architectury@*",AE2WTLib,AE2WTLib-11.6.3.jar,"[38,)",*,ae2wtlib;forge;minecraft;ae2;cloth_config;architectury,3c2351f1cfa7f09e7491070485041ee0dc414d75,11.6.3
"forge@[40,);minecraft@[1.18.2,);ae2@[11.0.0-alpha.4,)",AEInfinityBooster,AEInfinityBooster-1.18.2-1.1.0+9.jar,"[40,)","[1.18.2,)",aeinfinitybooster;forge;minecraft;ae2,1f915abe753d53cb425439d271c8ac212ce410e3,${file.jarVersion}
"forge@[40.1.52,);minecraft@[1.18.2,);computercraft@[1.100.4,);curios@[1.18-5.0.2.3,);ae2@[11.0.0-alpha.6,);refinedstorage@[1.10.2,);minecolonies@[1.18.2-1.0.877-BETA,);curios@[1.18.2-1.0.578-ALPHA,);patchouli@[1.18.2-67,);create@[0.5.1,)",Advanced Peripherals,AdvancedPeripherals-1.18.2-0.7.30r.jar,"[40,)","[1.18.2,)",advancedperipherals;forge;minecraft;computercraft;curios;ae2;refinedstorage;minecolonies;curios;patchouli;create,a0ae72e86668a8ac0184b2f2ca670c7a6c722881,${file.jarVersion}
,Akashic Tome,AkashicTome-1.5-20.jar,"[40,)",,akashictome,4aa94016e7b13dcd6fe9dc5bb6e23fa0946f36b2,${file.jarVersion}
"forge@[40.0.0,41.0.0);ae2@[11.0.0,12.0.0);mekanism@[10.2.1,11.0.0)",Applied Mekanistics,Applied-Mekanistics-1.2.2.jar,"[39,)",,appmek;forge;ae2;mekanism,473e32ee3937706b8afbb9260b7a5fb55cc6f083,1.2.2
,AutoRegLib,AutoRegLib-1.7-53.jar,"[38,)",,autoreglib,3e8f5e0bbf90af2555394b2f9ff704142f979465,${file.jarVersion}
"forge@[40,);minecraft@[1.18.2,1.19)",Barista,Barsita-1.18.2-1.0.2.jar,"[40,)","[1.18.2,1.19)",barista;forge;minecraft,271e37cd138e60b88e5a0d591640dee3345b3775,${file.jarVersion}
,Bookshelf,Bookshelf-Forge-1.18.2-13.3.56.jar,"[40,)",,bookshelf,0cf509eb57d754d83a844ffeb09c555f4da4c953,13.3.56
,ConnectedTexturesMod,CTM-1.18.2-1.1.5+5.jar,"[38,)",,,49d256455549130892de1ff9794f6ac07720b13b,1.18.2-1.1.5+5
,Chisels & bits,ChiselsBits-forge-1.18.2-1.2.116-universal.jar,"[28,)",,chiselsandbits,5361d4010f90a32d9a0341d34537b06e02b42b99,${file.jarVersion}
,Click Machine,ClickMachine-1.18.2-6.0.5.jar,"[32,)",,clickmachine,fe7823f831857ac3132ff7f5d54346a691794ad8,6.0.5
,Clumps,Clumps-forge-1.18.2-8.0.0+17.jar,"[40,)",,clumps,b984587d09e2035bad374833e5ac1e67638f87d0,${file.jarVersion}
,CodeChickenLib,CodeChickenLib-1.18.2-4.1.4.488-universal.jar,"[40,)",,,f6570e730433e0db266ef148dca5f2c2c2dec376,4.1.4.488
,Controlling,Controlling-forge-1.18.2-9.0+23.jar,"[40,)",,controlling,9f723b4a612ae712cafd9b50e24f38328b12e650,${file.jarVersion}
"forge@[39.0.0,)",CosmeticArmorReworked,CosmeticArmorReworked-1.18.2-v2a.jar,"[25,)",,cosmeticarmorreworked;forge,5c4cd13a521ed49128a73ff3fd00209d8c2ee966,${file.jarVersion}
,Crafting On A Stick,Crafting-on-a-stick-1.18.1-1.0.1.jar,"[39,)",,crafting_on_a_stick,481de43e398415f9fea86506bf18478c5c874ce2,1.0.1
,Cucumber,Cucumber-1.18.2-5.1.4.jar,"[40,)",,,bb2e4a1570956e4138afa83bfae1f303821d5710,5.1.4
"forge@[40,);minecraft@[1.18.2,1.19);bookshelf@[13.0.6,14)",DarkUtilities,DarkUtilities-Forge-1.18.2-10.1.7.jar,"[40,)","[1.18.2,1.19)",darkutils;forge;minecraft;bookshelf,ddf00907590bd7d798aa13cc39dee6a7cec4ab74,10.1.7
"forge@[39,);minecraft@[1.18,1.19);bookshelf@[13.0.6,)",EnchantmentDescriptions,EnchantmentDescriptions-Forge-1.18.2-10.0.12.jar,"[39,)","[1.18,1.19)",enchdesc;forge;minecraft;bookshelf,41c0ac2151e70feb6b8a20fe2f3c8087de05d084,10.0.12
,EnderStorage,EnderStorage-1.18.2-2.9.0.182-universal.jar,"[40,)",,,be5e81559868d59c06587e28455a973ce5c099bd,1.18.2-2.9.0.182
,ExtendedCrafting,ExtendedCrafting-1.18.2-4.1.2.jar,"[40,)",,,8514c1184c4a17ecefc7734c18c4544fcaa52cba,4.1.2
,Extra Storage,ExtraStorage-1.18.2-2.2.1.jar,"[40,)",,extrastorage,f0ef3541547cf7a747c48fbd48af28b69fda1647,${file.jarVersion}
,FastLeafDecay,FastLeafDecay-28.jar,"[40,)",,fastleafdecay,1005968a5f60863168156efbf0ed7e05137d6ab2,${file.jarVersion}
,Flux-Networks,FluxNetworks-1.18.2-7.0.8.12.jar,"[38,)",,,dd62cf9596f34717fdeedaeb093eb3871e746ca2,1.18.2-7.0.8.12
,FramedBlocks,FramedBlocks-5.11.5.jar,"[40,)",,framedblocks,ae122d0552ebd65116f1c22fad6ffa96f269b6ff,${file.jarVersion}
,Immersive Engineering,ImmersiveEngineering-1.18.2-8.4.0-161.jar,"[25,)",,immersiveengineering,9ca0db60f9a988a362d8fb96088dcd464109a98d,1.18.2-8.4.0-161
,IronJetpacks,IronJetpacks-1.18.2-5.1.4.jar,"[40,)",,,ae6639ee910c0721937224600d43c028c0268506,5.1.4
,LibX,LibX-1.18.2-3.2.18.jar,"[40,)",,libx,67f9d92f7feb49fc04c90f03a73ead7e1e36bee4,${file.jarVersion}
,MEGA Cells,MEGACells-1.4.2-1.18.2.jar,"[40,)",,megacells,646a111f55900ab92e7930029a97996bfc6dc36c,1.4.2-1.18.2
,Mekanism,Mekanism-1.18.2-10.2.5.465.jar,"[40,)",,,86248728732c1877cdc281695f67cbd7d6727e28,10.2.5
,MekanismAdditions,MekanismAdditions-1.18.2-10.2.5.465.jar,"[40,)",,,237fca94b498af55ac31ef1811757471a5c6bd2b,10.2.5
,MekanismGenerators,MekanismGenerators-1.18.2-10.2.5.465.jar,"[40,)",,,c14bd25d7fa91cd321a0ff307f6212fa2ccfe535,10.2.5
,MekanismTools,MekanismTools-1.18.2-10.2.5.465.jar,"[40,)",,,0cad2bb8b70a56a331844b11a9bb1c8e2cf493a6,10.2.5
,Morph-o-Tool,Morph-o-Tool-1.5-32.jar,"[40,)",,morphtool,84841674bc09ef67e7565e6e44120b62309df68a,${file.jarVersion}
,Mouse Tweaks,MouseTweaks-forge-mc1.18-2.21.jar,"[38,)",,mousetweaks,dc64a2a0df9b205114768a89482fe57ffac54143,${file.jarVersion}
,forge-1.18.2,NaturesCompass-1.18.2-1.9.7-forge.jar,"[40,)",,,5082c495344807ba2764e2a3bbfa6d03f19aad16,1.18.2-1.9.7-forge
,PackMenu,PackMenu-1.18.2-4.1.4.jar,"[32,)",,packmenu,4a1748b1d65b4b1ba6c443418cbefe9f2e92af04,4.1.4
"forge@[40.1.51,)",Patchouli,Patchouli-1.18.2-71.1.jar,"[40,)",,patchouli;forge,89e1aa7994794a3476ef6de31461eb1ce78da02d,${file.jarVersion}
,PigPen,PigPen-Forge-1.18.2-8.0.1.jar,"[40,)",,pigpen,83cea3592a64b5b042627dc20738f154be3369fe,8.0.1
,Placebo,Placebo-1.18.2-6.6.7.jar,"[32,)",,placebo,ae6e65b789291c7dbd8872523e82887722efb00c,6.6.7
,Powah,Powah-3.0.8.jar,"[36,)",,powah,9131b9157a5dcd4b0f8267e4135066dde880d9b4,3.0.8
,Pretty Pipes,PrettyPipes-1.12.8.jar,"[28,)",,prettypipes,943cff3a08a7750207a92d4459cc64079eb69354,${file.jarVersion}
,ProjectE,ProjectE-1.18.2-PE1.0.1.jar,"[40,)",,,8d462fe04aaaa01a8bb78e8a9ca789f528c92f4c,1.0.1
catalogue@*,Project Expansion,ProjectExpansion-1.18.2-1.0.20.jar,"[40,)",,projectexpansion;catalogue,7dd51f184dd4b8f3d3fd3fe883d623805e885474,${file.jarVersion}
,Quark,Quark-3.2-358.jar,"[40,)",,quark,18919f757e7fd1b4d4b4e0e0de1ea978ead34179,${file.jarVersion}
"forge@[40,);minecraft@[1.18.2,);refinedstorage@[1.10.2,)",RSInfinityBooster,RSInfinityBooster-1.18.2-2.1+20.jar,"[40,)","[1.18.2,)",rsinfinitybooster;forge;minecraft;refinedstorage,2054b5e99571fec3d75c9d5ba7830a5098e78fe1,${file.jarVersion}
,Runelic,Runelic-Forge-1.18.2-11.0.1.jar,"[40,)",,runelic,7b0e74b79b307be15a05f50a173e3396363b687a,11.0.1
"forge@[40,);minecraft@[1.18.2,);architectury@[4.6.77,);cloth_config@[6.2.62,7.0)",Simple Discord Rich Presence,SimpleDiscordRichPresence-forge-3.0.4-build.28+mc1.18.2.jar,"[40,)","[1.18.2,)",sdrp;forge;minecraft;architectury;cloth_config,ffa000d6fc116c7e2baee1aefc5f5a6abfe79d22,3.0.4-build.28+mc1.18.2
,Skyblock Builder,SkyblockBuilder-1.18.2-3.3.25.jar,"[40,)",,skyblockbuilder,0c41bcf57e25893aa08a284e60861abbae0e8dc6,${file.jarVersion}
,StorageDrawers-1.18,StorageDrawers-1.18.2-10.2.1.jar,"[38,)",,,2330bba44124f5481d34b02fb528815b97d3e357,1.18.2-10.2.1
"forge@[37,);minecraft@[1.18.1,1.19);tklib@[0.0.10,1.0.0)",Super Circuit Maker,SuperCircuitMaker2-0.2.9+1.18.2.jar,"[37,)","[1.18.1,1.19)",supercircuitmaker;forge;minecraft;tklib,6a5265e024852b2f66db7962633c8e879e8f7634,${file.jarVersion}
