dependencies,display_names,file,loader_range,mc_ranges,mod_ids,sha1,versions,modrinth_project_id,modrinth_slug,modrinth_title,mr_1_20_1_forge,mr_latest_1_20_1_version,mr_latest_1_20_1_version_id,mr_latest_1_20_1_url
,AE2 Things,AE2-Things-1.0.5.jar,"[40,)",,ae2things,db74f7e123a656bf1c9cbda71a865136cee109ad,1.0.5,,,,false,,,
"forge@*;minecraft@*;ae2@[11.6.3,12.0.0);cloth_config@*;architectury@*",AE2WTLib,AE2WTLib-11.6.3.jar,"[38,)",*,ae2wtlib;forge;minecraft;ae2;cloth_config;architectury,3c2351f1cfa7f09e7491070485041ee0dc414d75,11.6.3,pNabrMMw,applied-energistics-2-wireless-terminals,Applied Energistics 2 Wireless Terminals,true,15.3.3-forge,z8QXeyI0,https://cdn.modrinth.com/data/pNabrMMw/versions/z8QXeyI0/ae2wtlib-15.3.3-forge.jar
"forge@[40,);minecraft@[1.18.2,);ae2@[11.0.0-alpha.4,)",AEInfinityBooster,AEInfinityBooster-1.18.2-1.1.0+9.jar,"[40,)","[1.18.2,)",aeinfinitybooster;forge;minecraft;ae2,1f915abe753d53cb425439d271c8ac212ce410e3,${file.jarVersion},VQhDBNs8,aeinfinitybooster,AEInfinityBooster,true,1.20.1-1.0.0+20,cTJwfNfV,https://cdn.modrinth.com/data/VQhDBNs8/versions/cTJwfNfV/AEInfinityBooster-1.20.1-1.0.0%2B20.jar
"forge@[40.1.52,);minecraft@[1.18.2,);computercraft@[1.100.4,);curios@[1.18-5.0.2.3,);ae2@[11.0.0-alpha.6,);refinedstorage@[1.10.2,);minecolonies@[1.18.2-1.0.877-BETA,);curios@[1.18.2-1.0.578-ALPHA,);patchouli@[1.18.2-67,);create@[0.5.1,)",Advanced Peripherals,AdvancedPeripherals-1.18.2-0.7.30r.jar,"[40,)","[1.18.2,)",advancedperipherals;forge;minecraft;computercraft;curios;ae2;refinedstorage;minecolonies;curios;patchouli;create,a0ae72e86668a8ac0184b2f2ca670c7a6c722881,${file.jarVersion},,,,false,,,
,Akashic Tome,AkashicTome-1.5-20.jar,"[40,)",,akashictome,4aa94016e7b13dcd6fe9dc5bb6e23fa0946f36b2,${file.jarVersion},JBthPdnp,akashic-tome,Akashic Tome,true,1.20.1-1.7-27,FKIrMLZn,https://cdn.modrinth.com/data/JBthPdnp/versions/FKIrMLZn/AkashicTome-1.7-27.jar
"forge@[40.0.0,41.0.0);ae2@[11.0.0,12.0.0);mekanism@[10.2.1,11.0.0)",Applied Mekanistics,Applied-Mekanistics-1.2.2.jar,"[39,)",,appmek;forge;ae2;mekanism,473e32ee3937706b8afbb9260b7a5fb55cc6f083,1.2.2,,,,false,,,
,AutoRegLib,AutoRegLib-1.7-53.jar,"[38,)",,autoreglib,3e8f5e0bbf90af2555394b2f9ff704142f979465,${file.jarVersion},NvZ9ZhwE,autoreglib,AutoRegLib,false,,,
"forge@[40,);minecraft@[1.18.2,1.19)",Barista,Barsita-1.18.2-1.0.2.jar,"[40,)","[1.18.2,1.19)",barista;forge;minecraft,271e37cd138e60b88e5a0d591640dee3345b3775,${file.jarVersion},Vod0bt60,barista,Barista - Window Title Editor,false,,,
,Bookshelf,Bookshelf-Forge-1.18.2-13.3.56.jar,"[40,)",,bookshelf,0cf509eb57d754d83a844ffeb09c555f4da4c953,13.3.56,uy4Cnpcm,bookshelf-lib,Bookshelf,true,20.2.15,7eS5OIHj,https://cdn.modrinth.com/data/uy4Cnpcm/versions/7eS5OIHj/Bookshelf-Forge-1.20.1-20.2.15.jar
,ConnectedTexturesMod,CTM-1.18.2-1.1.5+5.jar,"[38,)",,,49d256455549130892de1ff9794f6ac07720b13b,1.18.2-1.1.5+5,,,,false,,,
,Chisels & bits,ChiselsBits-forge-1.18.2-1.2.116-universal.jar,"[28,)",,chiselsandbits,5361d4010f90a32d9a0341d34537b06e02b42b99,${file.jarVersion},,,,false,,,
,Click Machine,ClickMachine-1.18.2-6.0.5.jar,"[32,)",,clickmachine,fe7823f831857ac3132ff7f5d54346a691794ad8,6.0.5,,,,false,,,
,Clumps,Clumps-forge-1.18.2-8.0.0+17.jar,"[40,)",,clumps,b984587d09e2035bad374833e5ac1e67638f87d0,${file.jarVersion},Wnxd13zP,clumps,Clumps,true,12.0.0.4,nAHGB5ls,https://cdn.modrinth.com/data/Wnxd13zP/versions/nAHGB5ls/Clumps-forge-1.20.1-12.0.0.4.jar
,CodeChickenLib,CodeChickenLib-1.18.2-4.1.4.488-universal.jar,"[40,)",,,f6570e730433e0db266ef148dca5f2c2c2dec376,4.1.4.488,2gq0ALnz,codechicken-lib,CodeChicken Lib,true,4.4.0.516,pxajg7Ob,https://cdn.modrinth.com/data/2gq0ALnz/versions/pxajg7Ob/CodeChickenLib-1.20.1-4.4.0.516-universal.jar
,Controlling,Controlling-forge-1.18.2-9.0+23.jar,"[40,)",,controlling,9f723b4a612ae712cafd9b50e24f38328b12e650,${file.jarVersion},xv94TkTM,controlling,Controlling,true,12.0.2,LH6Bi6Am,https://cdn.modrinth.com/data/xv94TkTM/versions/LH6Bi6Am/Controlling-forge-1.20.1-12.0.2.jar
"forge@[39.0.0,)",CosmeticArmorReworked,CosmeticArmorReworked-1.18.2-v2a.jar,"[25,)",,cosmeticarmorreworked;forge,5c4cd13a521ed49128a73ff3fd00209d8c2ee966,${file.jarVersion},,,,false,,,
,Crafting On A Stick,Crafting-on-a-stick-1.18.1-1.0.1.jar,"[39,)",,crafting_on_a_stick,481de43e398415f9fea86506bf18478c5c874ce2,1.0.1,,,,false,,,
,Cucumber,Cucumber-1.18.2-5.1.4.jar,"[40,)",,,bb2e4a1570956e4138afa83bfae1f303821d5710,5.1.4,Rw1NrDzF,cucumber,Cucumber Library,true,7.0.16,xnLznSfT,https://cdn.modrinth.com/data/Rw1NrDzF/versions/xnLznSfT/Cucumber-1.20.1-7.0.16.jar
"forge@[40,);minecraft@[1.18.2,1.19);bookshelf@[13.0.6,14)",DarkUtilities,DarkUtilities-Forge-1.18.2-10.1.7.jar,"[40,)","[1.18.2,1.19)",darkutils;forge;minecraft;bookshelf,ddf00907590bd7d798aa13cc39dee6a7cec4ab74,10.1.7,CkqTAIaP,dark-utilities,Dark Utilities,true,17.0.6,kgD2c9Mq,https://cdn.modrinth.com/data/CkqTAIaP/versions/kgD2c9Mq/DarkUtilities-Forge-1.20.1-17.0.6.jar
"forge@[39,);minecraft@[1.18,1.19);bookshelf@[13.0.6,)",EnchantmentDescriptions,EnchantmentDescriptions-Forge-1.18.2-10.0.12.jar,"[39,)","[1.18,1.19)",enchdesc;forge;minecraft;bookshelf,41c0ac2151e70feb6b8a20fe2f3c8087de05d084,10.0.12,UVtY3ZAC,enchantment-descriptions,Enchantment Descriptions,true,17.1.21,OPgBRfTQ,https://cdn.modrinth.com/data/UVtY3ZAC/versions/OPgBRfTQ/EnchantmentDescriptions-Forge-1.20.1-17.1.21.jar
,EnderStorage,EnderStorage-1.18.2-2.9.0.182-universal.jar,"[40,)",,,be5e81559868d59c06587e28455a973ce5c099bd,1.18.2-2.9.0.182,BbrHg80P,ender-storage,Ender Storage,true,2.11.0.188,pTEnM5jC,https://cdn.modrinth.com/data/BbrHg80P/versions/pTEnM5jC/EnderStorage-1.20.1-2.11.0.188-universal.jar
,ExtendedCrafting,ExtendedCrafting-1.18.2-4.1.2.jar,"[40,)",,,8514c1184c4a17ecefc7734c18c4544fcaa52cba,4.1.2,5JMG1gql,extended-crafting,Extended Crafting,true,6.0.10,NtEZsGjO,https://cdn.modrinth.com/data/5JMG1gql/versions/NtEZsGjO/ExtendedCrafting-1.20.1-6.0.10.jar
,Extra Storage,ExtraStorage-1.18.2-2.2.1.jar,"[40,)",,extrastorage,f0ef3541547cf7a747c48fbd48af28b69fda1647,${file.jarVersion},,,,false,,,
,FastLeafDecay,FastLeafDecay-28.jar,"[40,)",,fastleafdecay,1005968a5f60863168156efbf0ed7e05137d6ab2,${file.jarVersion},,,,false,,,
,Flux-Networks,FluxNetworks-1.18.2-7.0.8.12.jar,"[38,)",,,dd62cf9596f34717fdeedaeb093eb3871e746ca2,1.18.2-7.0.8.12,,,,false,,,
,FramedBlocks,FramedBlocks-5.11.5.jar,"[40,)",,framedblocks,ae122d0552ebd65116f1c22fad6ffa96f269b6ff,${file.jarVersion},wbgfS34j,framedblocks,FramedBlocks,true,9.4.3,lSiHA1qU,https://cdn.modrinth.com/data/wbgfS34j/versions/lSiHA1qU/FramedBlocks-9.4.3.jar
,Immersive Engineering,ImmersiveEngineering-1.18.2-8.4.0-161.jar,"[25,)",,immersiveengineering,9ca0db60f9a988a362d8fb96088dcd464109a98d,1.18.2-8.4.0-161,tIm2nV03,immersiveengineering,Immersive Engineering,true,10.2.0-183,WUzj4tgJ,https://cdn.modrinth.com/data/tIm2nV03/versions/WUzj4tgJ/ImmersiveEngineering-1.20.1-10.2.0-183.jar
,IronJetpacks,IronJetpacks-1.18.2-5.1.4.jar,"[40,)",,,ae6639ee910c0721937224600d43c028c0268506,5.1.4,,,,false,,,
,LibX,LibX-1.18.2-3.2.18.jar,"[40,)",,libx,67f9d92f7feb49fc04c90f03a73ead7e1e36bee4,${file.jarVersion},qEH6GYul,libx,LibX,true,1.20.1-5.0.14,YHTMDq85,https://cdn.modrinth.com/data/qEH6GYul/versions/YHTMDq85/LibX-1.20.1-5.0.14.jar
,MEGA Cells,MEGACells-1.4.2-1.18.2.jar,"[40,)",,megacells,646a111f55900ab92e7930029a97996bfc6dc36c,1.4.2-1.18.2,jjuIRIVr,mega,MEGA Cells,true,forge-2.4.6,SH2D1n3s,https://cdn.modrinth.com/data/jjuIRIVr/versions/SH2D1n3s/megacells-forge-2.4.6-1.20.1.jar
,Mekanism,Mekanism-1.18.2-10.2.5.465.jar,"[40,)",,,86248728732c1877cdc281695f67cbd7d6727e28,10.2.5,Ce6I4WUE,mekanism,Mekanism,true,10.4.16.80,uxe1WQp4,https://cdn.modrinth.com/data/Ce6I4WUE/versions/uxe1WQp4/Mekanism-1.20.1-10.4.16.80.jar
,MekanismAdditions,MekanismAdditions-1.18.2-10.2.5.465.jar,"[40,)",,,237fca94b498af55ac31ef1811757471a5c6bd2b,10.2.5,a6F3uASn,mekanism-additions,Mekanism Additions,true,10.4.16.80,RFiZ24he,https://cdn.modrinth.com/data/a6F3uASn/versions/RFiZ24he/MekanismAdditions-1.20.1-10.4.16.80.jar
,MekanismGenerators,MekanismGenerators-1.18.2-10.2.5.465.jar,"[40,)",,,c14bd25d7fa91cd321a0ff307f6212fa2ccfe535,10.2.5,OFVYKsAk,mekanism-generators,Mekanism Generators,true,10.4.16.80,Th4Czz4N,https://cdn.modrinth.com/data/OFVYKsAk/versions/Th4Czz4N/MekanismGenerators-1.20.1-10.4.16.80.jar
,MekanismTools,MekanismTools-1.18.2-10.2.5.465.jar,"[40,)",,,0cad2bb8b70a56a331844b11a9bb1c8e2cf493a6,10.2.5,tqQpq1lt,mekanism-tools,Mekanism Tools,true,10.4.16.80,VzpFbUpF,https://cdn.modrinth.com/data/tqQpq1lt/versions/VzpFbUpF/MekanismTools-1.20.1-10.4.16.80.jar
,Morph-o-Tool,Morph-o-Tool-1.5-32.jar,"[40,)",,morphtool,84841674bc09ef67e7565e6e44120b62309df68a,${file.jarVersion},rtbzFq0N,morph-o-tool,Morph-o-Tool,true,1.20.1-1.7-38,CItFodYh,https://cdn.modrinth.com/data/rtbzFq0N/versions/CItFodYh/Morph-o-Tool-1.7-38.jar
,Mouse Tweaks,MouseTweaks-forge-mc1.18-2.21.jar,"[38,)",,mousetweaks,dc64a2a0df9b205114768a89482fe57ffac54143,${file.jarVersion},,,,false,,,
,forge-1.18.2,NaturesCompass-1.18.2-1.9.7-forge.jar,"[40,)",,,5082c495344807ba2764e2a3bbfa6d03f19aad16,1.18.2-1.9.7-forge,fPetb5Kh,natures-compass,Nature's Compass,true,1.20.1-1.12.0-forge,eRSDvCjN,https://cdn.modrinth.com/data/fPetb5Kh/versions/eRSDvCjN/NaturesCompass-1.20.1-1.12.0-forge.jar
,PackMenu,PackMenu-1.18.2-4.1.4.jar,"[32,)",,packmenu,4a1748b1d65b4b1ba6c443418cbefe9f2e92af04,4.1.4,,,,false,,,
"forge@[40.1.51,)",Patchouli,Patchouli-1.18.2-71.1.jar,"[40,)",,patchouli;forge,89e1aa7994794a3476ef6de31461eb1ce78da02d,${file.jarVersion},nU0bVIaL,patchouli,Patchouli,true,1.20.1-85-forge,94dtOLgZ,https://cdn.modrinth.com/data/nU0bVIaL/versions/94dtOLgZ/Patchouli-1.20.1-85-FORGE.jar
,PigPen,PigPen-Forge-1.18.2-8.0.1.jar,"[40,)",,pigpen,83cea3592a64b5b042627dc20738f154be3369fe,8.0.1,2xZPITh8,pig-pen-cipher,Pig Pen Cipher,true,15.0.3,PIowXiWC,https://cdn.modrinth.com/data/2xZPITh8/versions/PIowXiWC/PigPen-Forge-1.20.1-15.0.3.jar
,Placebo,Placebo-1.18.2-6.6.7.jar,"[32,)",,placebo,ae6e65b789291c7dbd8872523e82887722efb00c,6.6.7,,,,false,,,
,Powah,Powah-3.0.8.jar,"[36,)",,powah,9131b9157a5dcd4b0f8267e4135066dde880d9b4,3.0.8,KZO4S4DO,powah,Powah!,true,5.0.11-forge,xDOvxyqP,https://cdn.modrinth.com/data/KZO4S4DO/versions/xDOvxyqP/Powah-5.0.11.jar
,Pretty Pipes,PrettyPipes-1.12.8.jar,"[28,)",,prettypipes,943cff3a08a7750207a92d4459cc64079eb69354,${file.jarVersion},XExdLWCQ,pretty-pipes,Pretty Pipes,true,1.15.0,LqsTdtjN,https://cdn.modrinth.com/data/XExdLWCQ/versions/LqsTdtjN/PrettyPipes-1.15.0-all.jar
,ProjectE,ProjectE-1.18.2-PE1.0.1.jar,"[40,)",,,8d462fe04aaaa01a8bb78e8a9ca789f528c92f4c,1.0.1,,,,false,,,
catalogue@*,Project Expansion,ProjectExpansion-1.18.2-1.0.20.jar,"[40,)",,projectexpansion;catalogue,7dd51f184dd4b8f3d3fd3fe883d623805e885474,${file.jarVersion},a7yNQPzW,project-expansion,Project Expansion,true,1.20.1-1.1.3,ldFKkUfe,https://cdn.modrinth.com/data/a7yNQPzW/versions/ldFKkUfe/projectexpansion-1.20.1-1.1.3.jar
,Quark,Quark-3.2-358.jar,"[40,)",,quark,18919f757e7fd1b4d4b4e0e0de1ea978ead34179,${file.jarVersion},qnQsVE2z,quark,Quark,true,1.20.1-4.0-462,DijQLauD,https://cdn.modrinth.com/data/qnQsVE2z/versions/DijQLauD/Quark-4.0-462.jar
"forge@[40,);minecraft@[1.18.2,);refinedstorage@[1.10.2,)",RSInfinityBooster,RSInfinityBooster-1.18.2-2.1+20.jar,"[40,)","[1.18.2,)",rsinfinitybooster;forge;minecraft;refinedstorage,2054b5e99571fec3d75c9d5ba7830a5098e78fe1,${file.jarVersion},Sjzdj2cy,rsinfinitybooster,RSInfinityBooster,true,1.20.1-1.0+41,UkT7CCGr,https://cdn.modrinth.com/data/Sjzdj2cy/versions/UkT7CCGr/RSInfinityBooster-1.20.1-1.0%2B41.jar
,Runelic,Runelic-Forge-1.18.2-11.0.1.jar,"[40,)",,runelic,7b0e74b79b307be15a05f50a173e3396363b687a,11.0.1,P4Xi5huA,runelic,Runelic,true,18.0.4,xJEfMGkW,https://cdn.modrinth.com/data/P4Xi5huA/versions/xJEfMGkW/Runelic-Forge-1.20.1-18.0.4.jar
"forge@[40,);minecraft@[1.18.2,);architectury@[4.6.77,);cloth_config@[6.2.62,7.0)",Simple Discord Rich Presence,SimpleDiscordRichPresence-forge-3.0.4-build.28+mc1.18.2.jar,"[40,)","[1.18.2,)",sdrp;forge;minecraft;architectury;cloth_config,ffa000d6fc116c7e2baee1aefc5f5a6abfe79d22,3.0.4-build.28+mc1.18.2,SCAopByd,srdp,Simple Rich Discord Presence,true,4.0.3,jnmqJmSh,https://cdn.modrinth.com/data/SCAopByd/versions/jnmqJmSh/SimpleDiscordRichPresence-forge-4.0.3-build.40%2Bmc1.20.1.jar
,Skyblock Builder,SkyblockBuilder-1.18.2-3.3.25.jar,"[40,)",,skyblockbuilder,0c41bcf57e25893aa08a284e60861abbae0e8dc6,${file.jarVersion},por2AZc5,skyblock-builder,Skyblock Builder,true,1.20.1-5.1.33,Cf9Mrd4W,https://cdn.modrinth.com/data/por2AZc5/versions/Cf9Mrd4W/SkyblockBuilder-1.20.1-5.1.33.jar
,StorageDrawers-1.18,StorageDrawers-1.18.2-10.2.1.jar,"[38,)",,,2330bba44124f5481d34b02fb528815b97d3e357,1.18.2-10.2.1,guitPqEi,storagedrawers,Storage Drawers,true,1.20.1-12.14.3,8raubcF4,https://cdn.modrinth.com/data/guitPqEi/versions/8raubcF4/StorageDrawers-forge-1.20.1-12.14.3.jar
"forge@[37,);minecraft@[1.18.1,1.19);tklib@[0.0.10,1.0.0)",Super Circuit Maker,SuperCircuitMaker2-0.2.9+1.18.2.jar,"[37,)","[1.18.1,1.19)",supercircuitmaker;forge;minecraft;tklib,6a5265e024852b2f66db7962633c8e879e8f7634,${file.jarVersion},,,,false,,,
,TKLib,TKLib-0.0.23+1.18.2.jar,"[37,)",,tklib,78e9181177e130f84035ace39e607907613d43ee,${file.jarVersion},,,,false,,,
,Toast Control,ToastControl-1.18.2-6.0.3.jar,"[32,)",,toastcontrol,8ed3eb63f8c34b5f7c10b216cf8b55d4c32a09ed,6.0.3,,,,false,,,
,XNet Gases,XNetGases-1.18.2-3.0.1.jar,"[36,)",,xnetgases,f62201d1e136cf4cb95d0b93cfe62332c2749695,${file.jarVersion},H1x2EwLg,xnet-gases,XNet Gases,true,5.1.4,Re8BhcS7,https://cdn.modrinth.com/data/H1x2EwLg/versions/Re8BhcS7/xnetgases-1.20.1-5.1.4.jar
,Affinity Enchantment,affinity-1.18.2-0.0.3.jar,"[40,)",,affinity,9a0cb7ff101e1c3302174ecb182e921f6fe31d49,1.19.2-0.0.3,,,,false,,,
,AppleSkin,appleskin-forge-mc1.18.2-2.4.1.jar,"[40,)",,appleskin,6fa3d2485e3a7b416470ad5a3c708f1ce366195c,${file.jarVersion},EsAfCjCV,appleskin,AppleSkin,true,2.5.1+mc1.20.1,XdXDExVF,https://cdn.modrinth.com/data/EsAfCjCV/versions/XdXDExVF/appleskin-forge-mc1.20.1-2.5.1.jar
,Applied Energistics 2,appliedenergistics2-forge-11.7.4.jar,"[32,)",,ae2,5b491af58c1682d4196be3de9abac20187c97ecb,11.7.4,,,,false,,,
"minecraft@[1.18.2,);forge@[40.1.14,)",Architectury,architectury-4.11.93-forge.jar,"[40,)","[1.18.2,)",architectury;minecraft;forge,745f674393a9d5827ee92fcd5c6c350c9aeeed97,4.11.93,lhGA9TYQ,architectury-api,Architectury API,true,9.2.14+forge,1MKTLiiG,https://cdn.modrinth.com/data/lhGA9TYQ/versions/1MKTLiiG/architectury-9.2.14-forge.jar
,Balm,balm-3.2.6.jar,"[40,)",,balm,a0be48540d7d9661db8db54cbc96a94b59793fcb,${file.jarVersion},,,,false,,,
"forge@[40,)",Building Gadgets,buildinggadgets-3.13.2-build.21+mc1.18.2.jar,"[40,)",,buildinggadgets;forge,e8f9e67ea6fd758131aa7e89b30d1b4dd2d3a67c,${file.jarVersion},,,,false,,,
,Cable Tiers,cabletiers-1.18.2-0.547.jar,"[39,)",,cabletiers,033f19c3573b855dfaca8ae427ad025c3b94bbb3,${file.jarVersion},UsLNxQgK,cable-tiers,Cable Tiers,true,1.20.1-1.2.2,i99hKWi2,https://cdn.modrinth.com/data/UsLNxQgK/versions/i99hKWi2/cabletiers-1.20.1-1.2.2.jar
,Tschipp_CarryOn_1.18,carryon-1.18.2-1.17.1.12.jar,"[40,)",,,3873b6f842c36af75bc29d448f65df9a03c1a9da,1.17.1.12,joEfVgkn,carry-on,Carry On,true,2.1.2.7,edGQD16r,https://cdn.modrinth.com/data/joEfVgkn/versions/edGQD16r/carryon-forge-1.20.1-2.1.2.7.jar
,CC: Tweaked,cc-tweaked-1.18.2-1.101.3.jar,"[40,41)",,computercraft,adff61eb404115b074e4f32c91ca20af9c2eff1d,1.101.3,gu7yAYhd,cc-tweaked,CC: Tweaked,true,1.120.0,rx9gr1rz,https://cdn.modrinth.com/data/gu7yAYhd/versions/rx9gr1rz/cc-tweaked-1.20.1-forge-1.120.0.jar
"forge@[40,);minecraft@[1.18,);ctm@[0,)",Chipped,chipped-forge-1.18.2-2.0.1.jar,"[40,)","[1.18,)",chipped;forge;minecraft;ctm,9ee8bc9cf7a95a48447b4f116ed71232610b2d0b,2.0.1,BAscRYKm,chipped,Chipped,true,3.0.7,pi3f4er3,https://cdn.modrinth.com/data/BAscRYKm/versions/pi3f4er3/chipped-forge-1.20.1-3.0.7.jar
,Cloth Config v4 API,cloth-config-6.5.102-forge.jar,"[34,)",,cloth_config,9e4f45433e80eeeb634cac50549619f183f6b3a8,6.5.102,9s6osm5g,cloth-config,Cloth Config API,true,11.1.136+forge,t8TXrZvZ,https://cdn.modrinth.com/data/9s6osm5g/versions/t8TXrZvZ/cloth-config-11.1.136-forge.jar
"minecraft@[1.18.2,);forge@[40.1.76,)",CoFH Core,cofh_core-1.18.2-9.2.1.39.jar,"[40,)","[1.18.2,)",cofh_core;minecraft;forge,4a6303c1c0b2162210f7117f562815c6f33ef780,9.2.1,OWSRM4vD,cofh-core,CoFH Core,true,11.0.2,kglS53Hd,https://cdn.modrinth.com/data/OWSRM4vD/versions/kglS53Hd/cofh_core-1.20.1-11.0.2.56.jar
,Comforts,comforts-forge-1.18.2-5.0.0.6.jar,"[38,)",,comforts,738aa237f6b8e82a5b4ad8af9d9e371fbd25eb08,1.18.2-5.0.0.6,SaCpeal4,comforts,Comforts,true,6.4.0+1.20.1,gBDsc134,https://cdn.modrinth.com/data/SaCpeal4/versions/gBDsc134/comforts-forge-6.4.0%2B1.20.1.jar
,Compact Machines,compactmachines-4.5.0.jar,"[40,)",,,ade4d96f9a6e6718dfee9d3e427a0dfbc68b0229,4.5.0,,,,false,,,
,Configured,configured-2.0.1-1.18.2.jar,"[40,)",,configured,825e0e439de2bfabf5d088953eb49c1c04e3e531,2.0.1,,,,false,,,
,Construction Wand,constructionwand-1.18.2-2.9.jar,"[40,)",,constructionwand,a65a82775dd9fbddfb6239d0a5c0b7a0eb7a0c11,${file.jarVersion},bV2crgLh,construction-wand,Construction Wand,true,1.20.1-2.11,XCgKj8gL,https://cdn.modrinth.com/data/bV2crgLh/versions/XCgKj8gL/constructionwand-1.20.1-2.11.jar
"forge@[40,);minecraft@[1.18,1.19);balm@[3.2.0,)",CookingForBlockheads,cookingforblockheads-forge-1.18.2-12.2.0.jar,"[40,)","[1.18,1.19)",cookingforblockheads;forge;minecraft;balm,a05f0b1d035b3715a7d75a62a907234ef6d3464e,${file.jarVersion},vJnhuDde,cooking-for-blockheads,Cooking for Blockheads,true,16.0.15+forge-1.20.1,W87tG8sG,https://cdn.modrinth.com/data/vJnhuDde/versions/W87tG8sG/cookingforblockheads-forge-1.20.1-16.0.15.jar
,Crafting Station,craftingstation-1.18.2-5.0.1.jar,"[25,)",,craftingstation,bfbb3162662bb5efeb4c0a480f0dae6f33b2f0ed,${file.jarVersion},,,,false,,,
,Create,create-1.18.2-0.5.1.c.jar,"[40,)",,create,97faf28babb2f1ac0f4115a541cb68cc8e7fbf86,${file.jarVersion},LNytGWDc,create,Create,true,mc1.20.1-6.0.8,8amzvn9x,https://cdn.modrinth.com/data/LNytGWDc/versions/8amzvn9x/create-1.20.1-6.0.8.jar
,Create: Chromatic Return,create-chromaticreturn1.18.2_v1.1.jar,"[40,)",,createchromaticreturn,d95468d97792fe5834e4509815ad466813de54e2,1.0.0,,,,false,,,
,Create Crafts & Additions,createaddition-1.18.2-1.0.0.jar,"[40,)",,createaddition,8f085f69db71149b980df8fcbfc97d81b28cd52d,${file.jarVersion},kU1G12Nn,createaddition,Create Crafts & Additions,true,forge-1.20.1-1.3.,9LgyB6Yb,https://cdn.modrinth.com/data/kU1G12Nn/versions/9LgyB6Yb/createaddition-1.20.1-1.3.3.jar
,Create Ender Transmission,createendertransmission-2.0.4-1.18.2.jar,"[40,)",,createendertransmission,b4f1d62f4632e0ab84c0f81851f8902343095808,,wtW8g4TG,create-ender-transmission,Create: Ender Transmission,true,2.1.1-1.20.1,c1qVA71x,https://cdn.modrinth.com/data/wtW8g4TG/versions/c1qVA71x/createendertransmission-2.1.1-1.20.1.jar
,Creative Crafter,creativecrafter-1.18.2-1.0.jar,"[40,)",,creativecrafter,7594e3c10a6a99f964a85c9eba279a6db1319f8c,${file.jarVersion},QPD4Slj4,creative-crafter,Creative Crafter,true,1.20.1-1.1,xnEMET18,https://cdn.modrinth.com/data/QPD4Slj4/versions/xnEMET18/creativecrafter-1.20.1-1.1.jar
,Curios API,curios-forge-1.18.2-5.0.9.1.jar,"[40,)",,curios,e4e5d1323e474e2fff0c9419d9d5e1aa71f877ca,${file.jarVersion},,,,false,,,
,Dank Storage,dankstorage-1.18.2-4.1.4.jar,"[25,)",,dankstorage,72d66ba09871fa9cd9a11e1031bbd243320a282b,${file.jarVersion},,,,false,,,
,Elevator Mod,elevatorid-1.18.2-1.8.4.jar,"[40,)",,elevatorid,c32376d6741c1f8ec4ed637bb55e070c3ad3200e,${file.jarVersion},hi2dSXTu,elevatormod,ElevatorMod,true,1.20.1-1.9.1-forge,nWSTr4AA,https://cdn.modrinth.com/data/hi2dSXTu/versions/nWSTr4AA/elevatorid-1.20.1-1.9.1-forge.jar
,Engineer,engineersdecor-1.18.2-1.1.28.jar,"[39,)",,engineersdecor,d599ea997588232db4e0e18406916a310bcffc90,${file.jarVersion},CAf1aIa6,engineersdecor,Engineer's Decor,false,,,
